LONGITUD LATITUDE NUM_PICK FARE_PIC TIP_PICK FPD_PICK TPD_PICK TPF_PICK NUM_DROP FARE_DRO FARE_TIP FPD_DROP TPD_DROP TPF_DROP
 -73.920   40.840        5    1.500    0.000   15.000    0.000    0.000       50   22.690    1.573    4.713    0.247    0.069
 -73.920   40.850        1    0.000    0.000    0.000    0.000    0.000       19   22.711    1.167    2.757    0.169    0.051
 -73.920   40.860        8   21.938    1.250    3.735    0.130    0.057       48   27.500    2.535    3.099    0.305    0.092
 -73.920   40.870       11   16.636    0.682    5.652    0.259    0.041      101   25.762    2.966    3.181    0.374    0.115
 -73.910   40.680        2    6.000    0.500    5.655    0.500    0.083       11   24.955    1.209    3.781    0.163    0.048
 -73.910   40.690        1    4.000    0.000    8.000    0.000    0.000       16   24.688    2.944    3.779    0.438    0.119
 -73.910   40.700        5   16.600    3.334    3.947    0.929    0.201       25   27.100    2.766    3.956    0.364    0.102
 -73.910   40.710        4   12.875    0.250    3.956    0.074    0.019       19   21.395    1.342    3.601    0.237    0.063
 -73.910   40.720       11   35.455    2.085    8.997    0.367    0.059       35   20.157    1.826    4.455    0.322    0.091
 -73.910   40.730        8   15.875    2.510    7.368    0.597    0.158       50   18.860    1.773    4.622    0.329    0.094
 -73.910   40.740      286   13.156    0.937    5.307    0.281    0.071      250   13.563    1.039    5.045    0.348    0.077
 -73.910   40.750       82   11.216    1.813    6.550    0.553    0.162      120   15.652    1.307    4.962    0.379    0.083
 -73.910   40.760       71   14.206    1.406   16.387    0.422    0.099      139   16.229    1.834   10.645    0.442    0.113
 -73.910   40.770      141   10.858    1.015    8.515    0.679    0.093      184   15.679    1.526    6.504    0.390    0.097
 -73.910   40.780        1   18.000    4.830    3.303    0.886    0.268        1   31.500    3.000    4.565    0.435    0.095
 -73.910   40.790        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.910   40.800        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.910   40.810        5    7.400    0.210  225.406    0.300    0.028       23   20.065    0.174   51.412    0.016    0.009
 -73.910   40.820        5    9.300    0.000    3.065    0.000    0.000       38   21.408    1.781    3.688    0.267    0.083
 -73.910   40.830        5   15.500    0.200    4.444    0.090    0.013       33   24.818    1.089    3.582    0.166    0.044
 -73.910   40.840        2   14.500    0.500    3.648    0.092    0.034       25   28.640    2.529    3.151    0.278    0.088
 -73.910   40.850        5   20.200    0.860    4.644    0.776    0.043       40   29.575    0.781    3.215    0.096    0.026
 -73.910   40.860        4   32.250    0.375    3.150    0.066    0.012       54   28.083    2.444    3.776    0.296    0.087
 -73.910   40.870        7   10.357    0.279    4.394    0.133    0.027       36   27.514    1.008    3.401    0.112    0.037
